Keyword,Cluster_Producto,Cluster_Geografico,URL_Objetivo,Volumen_Busqueda_ES,CPC_ES,Dificultad_CMP_ES,Posicion_24_07_2026,Mejor_Posicion_Historica,Registrada_SerpReports,Prioridad,Accion_Recomendada,Seguimiento_Ago2026,Seguimiento_Sep2026,Seguimiento_Oct2026,Seguimiento_Nov2026,Seguimiento_Dic2026,Seguimiento_Ene2027,Seguimiento_Feb2027,Seguimiento_Mar2027,Seguimiento_Abr2027,Seguimiento_May2027,Seguimiento_Jun2027,Seguimiento_Jul2027
carpinteria de aluminio en alcala de henares,Carpintería de Aluminio y PVC,Alcalá de Henares,https://aluminiosnavarro.es/carpinteria-de-aluminio-en-alcala-de-henares/,40,1.49,75,20,5,Sí,Alta,Quick win; hay variantes casi idénticas apuntando a la misma URL (vigilar canibalización interna).,,,,,,,,,,,,
toldos en san fernando de henares,Toldos,San Fernando de Henares,https://aluminiosnavarro.es/toldos-en-san-fernando-de-henares/,40,3.36,82,13,4,Sí,Alta,Quick win con buen histórico (Best 4).,,,,,,,,,,,,
carpinteria aluminio alcala de henares,Carpintería de Aluminio y PVC,Alcalá de Henares,https://aluminiosnavarro.es/carpinteria-de-aluminio-en-alcala-de-henares/,40,1.3,47,26,8,Sí,Alta,"Quick win; variante duplicada, consolidar señales con las otras 2 variantes de Alcalá.",,,,,,,,,,,,
carpinteria de aluminio alcala de henares,Carpintería de Aluminio y PVC,Alcalá de Henares,https://aluminiosnavarro.es/carpinteria-de-aluminio-en-alcala-de-henares/,40,1.3,47,25,10,Sí,Alta,Quick win; consolidar con las otras 2 variantes.,,,,,,,,,,,,
toldos en coslada y san Fernando,Toldos,Coslada / San Fernando de Henares,https://aluminiosnavarro.es/toldos-en-coslada/,40,2,93,24,5,Sí,Alta,Quick win; cayó desde el Top 5.,,,,,,,,,,,,
ventanas de aluminio en alcala de henares,Ventanas y Puertas de Aluminio,Alcalá de Henares,https://aluminiosnavarro.es/ventanas-de-aluminio-en-alcala-de-henares/,30,3.13,40,33,5,Sí,Alta,"Cayo desde el Top 5 histórico hasta pos.33; muy cerca de la banda de quick win, revisar cambios recientes en la página.",,,,,,,,,,,,
ventanas de aluminio alcala de henares,Ventanas y Puertas de Aluminio,Alcalá de Henares,https://aluminiosnavarro.es/ventanas-de-aluminio-en-alcala-de-henares/,30,3.13,40,20,5,Sí,Alta,"Quick win (pos.20), cayó desde el Top 5; variante casi duplicada de 'ventanas de aluminio en alcala de henares'.",,,,,,,,,,,,
ventanas pvc torrejon de ardoz,Ventanas y Puertas de PVC,Torrejón de Ardoz,https://aluminiosnavarro.es/puertas-y-ventanas-en-torrejon-de-ardoz/,20,3.5,79,26,5,Sí,Alta,"Quick win; página mixta aluminio/PVC, reforzar apartado PVC.",,,,,,,,,,,,
ventanas pvc alcala de henares,Ventanas y Puertas de PVC,Alcalá de Henares,https://aluminiosnavarro.es/ventanas-de-aluminio-en-alcala-de-henares/,20,,89,34,8,Sí,Alta,"Cayo desde el Top 8 histórico; keyword PVC apuntando a página de aluminio, valorar sección o página PVC específica en Alcalá.",,,,,,,,,,,,
carpinteria de aluminio en torrejon de ardoz,Carpintería de Aluminio y PVC,Torrejón de Ardoz,https://aluminiosnavarro.es/cerramientos-de-aluminio-en-torrejon-de-ardoz/,10,,25,23,12,Sí,Alta,Quick win con CMP muy baja (25); fácil de mover a página 1.,,,,,,,,,,,,
cerramientos de aluminio en torrejon de ardoz,Cerramientos de Aluminio,Torrejón de Ardoz,https://aluminiosnavarro.es/cerramientos-de-aluminio-en-torrejon-de-ardoz/,10,,,19,3,Sí,Alta,"Quick win; ya fue Top 3, revisar qué cambió en la página.",,,,,,,,,,,,
pergolas torrejon de ardoz,Pérgolas y Vérandas,Torrejón de Ardoz,https://aluminiosnavarro.es/pergolas-en-torrejon-de-ardoz/,10,4.17,100,21,1,Sí,Alta,Quick win; recuperar la posición 1 historica.,,,,,,,,,,,,
ventanas de aluminio en torrejon de ardoz,Ventanas y Puertas de Aluminio,Torrejón de Ardoz,https://aluminiosnavarro.es/puertas-y-ventanas-en-torrejon-de-ardoz/,10,,60,26,3,Sí,Alta,"Quick win, ya fue Top 3.",,,,,,,,,,,,
cerramientos de aluminio en alcala de henares,Cerramientos de Aluminio,Alcalá de Henares,https://aluminiosnavarro.es/cerramientos-de-aluminio-en-alcala-de-henares/,10,,,15,6,Sí,Alta,Quick win.,,,,,,,,,,,,
cortinas de cristal en guadalajara,Cortinas de Cristal,Guadalajara,https://aluminiosnavarro.es/cerramientos-de-aluminio-en-guadalajara/,10,,,34,1,Sí,Alta,"Corregir cuanto antes: rankea la página de cerramientos en vez de /cortinas-de-cristal-en-guadalajara/ que ya existe; fue #1, reforzar enlazado interno hacia la página correcta.",,,,,,,,,,,,
persianas de aluminio en madrid,Persianas,Madrid,https://aluminiosnavarro.es/persianas-de-aluminio-en-madrid/,10,0.49,67,23,9,Sí,Alta,"Quick win, aunque volumen bajo.",,,,,,,,,,,,
toldos baratos madrid,Toldos,Madrid,https://aluminiosnavarro.es/toldos-en-madrid/,260,3.18,100,36,13,Sí,Media,"CMP máxima (100); añadir precios orientativos, ofertas y reseñas.",,,,,,,,,,,,
carpinteria de aluminio madrid,Carpintería de Aluminio y PVC,Madrid,https://aluminiosnavarro.es/,140,1.66,61,35,14,Sí,Media,Cerca de la banda de quick win (pos.35); reforzar keyword en H1/meta de home.,,,,,,,,,,,,
ventanas de pvc en madrid,Ventanas y Puertas de PVC,Madrid,https://aluminiosnavarro.es/ventanas-y-puertas-de-pvc-en-madrid/,110,7.23,32,,31,Sí,Media,CMP baja (32): buena oportunidad de optimizacion on-page rápida.,,,,,,,,,,,,
carpinteria aluminio Madrid,Carpintería de Aluminio y PVC,Madrid,https://aluminiosnavarro.es/,110,2.19,72,36,12,Sí,Media,Cerca de la banda de quick win.,,,,,,,,,,,,
pergolas en Guadalajara,Pérgolas y Vérandas,Guadalajara,https://aluminiosnavarro.es/pergolas-en-guadalajara/,110,1.39,100,7,3,Sí,Media,Ya en el Top 7; reforzar para volver al Top 3.,,,,,,,,,,,,
empresas de toldos en madrid,Toldos,Madrid,https://aluminiosnavarro.es/toldos-en-madrid/,90,3.3,90,,13,Sí,Media,"Reforzar E-E-A-T (reseñas, casos de éxito) para competir en 'empresas de'.",,,,,,,,,,,,
pergolas bioclimaticas en madrid,Pérgolas y Vérandas,Madrid,https://aluminiosnavarro.es/verandas-y-pergolas-en-madrid/,50,4.25,100,,13,Sí,Media,Cubierta junto con la variante principal de pergolas bioclimaticas.,,,,,,,,,,,,
cerramientos de aluminio en madrid,Cerramientos de Aluminio,Madrid,https://aluminiosnavarro.es/,40,,21,,,Sí,Media,Sin dato de posición en el export de SerpReports; verificar directamente en DinoRank.,,,,,,,,,,,,
cerramientos aluminio madrid,Cerramientos de Aluminio,Madrid,https://aluminiosnavarro.es/,30,4.22,56,37,12,Sí,Media,Enlazar internamente desde /cerramientos-de-aluminio/.,,,,,,,,,,,,
instalacion de ventanas madrid,Ventanas y Puertas de Aluminio,Madrid,https://aluminiosnavarro.es/puertas-y-ventanas-de-aluminio-madrid/,30,3.03,53,,19,Sí,Media,Volumen bajo; añadir sección de proceso de instalación.,,,,,,,,,,,,
carpinteria de aluminio en coslada,Carpintería de Aluminio y PVC,Coslada,,30,,11,,,No,Media,Sin página dedicada (gap geográfico); Coslada solo tiene página de toldos. Valorar página o sección de carpinteria/cerramientos de aluminio en Coslada.,,,,,,,,,,,,
ventanas de aluminio Guadalajara,Ventanas y Puertas de Aluminio,Guadalajara,https://aluminiosnavarro.es/puertas-y-ventanas-de-aluminio-en-guadalajara/,20,1.11,32,,12,Sí,Media,"CMP baja (32): la página existe pero no captura esta variante, optimizar on-page.",,,,,,,,,,,,
toldos en paracuellos del jarama,Toldos,Paracuellos del Jarama,https://aluminiosnavarro.es/toldos-en-paracuellos-del-jarama/,10,1.74,71,10,3,Sí,Media,Ya en el Top 10; empujar hacia el Top 5.,,,,,,,,,,,,
cortinas de cristal getafe,Cortinas de Cristal,Getafe,https://aluminiosnavarro.es/cortinas-de-cristal-getafe/,10,2.22,100,6,2,Sí,Media,Ya en el Top 6 con buen histórico (Best 2); reforzar para recuperar el Top 3.,,,,,,,,,,,,
aluminios navarro,Marca,Sin geo (nacional),https://aluminiosnavarro.es/,110,1.06,8,1,1,Sí,Baja,Ya en posición 1; monitorizar y proteger la marca.,,,,,,,,,,,,
pergolas de aluminio en madrid,Pérgolas y Vérandas,Madrid,https://aluminiosnavarro.es/verandas-y-pergolas-en-madrid/,10,6.37,76,,9,Sí,Baja,Volumen bajo; mención suficiente en el copy actual.,,,,,,,,,,,,
